player_id,name,web_name,team,price,ownership,transfers_in_event,transfers_out_event,form,minutes,status,snapshot_date
169,Diego Gómez Amarilla,Gomez,Brighton,4.9,0.2,4969,503,2.7,1042,a,2025-12-30
170,James Milner,Milner,Brighton,4.9,0.1,170,203,0.3,209,a,2025-12-30
171,Jeremy Sarmiento Morante,Sarmiento,Brighton,4.9,0.0,0,8,0.0,0,u,2025-12-30
172,Tom Watson,Watson,Brighton,4.8,0.0,50,56,0.3,47,a,2025-12-30
173,Mats Wieffer,Wieffer,Brighton,4.9,0.3,1372,2336,3.0,1179,a,2025-12-30
174,Malick Yalcouyé,Yalcouye,Brighton,5.0,0.0,0,1,0.0,0,u,2025-12-30
175,Joe Knight,Knight,Brighton,4.4,0.1,119,360,0.0,1,a,2025-12-30
176,Adrian Mazilu,Mazilu,Brighton,4.5,0.0,0,10,0.0,0,u,2025-12-30
177,Andrew Moran,Moran,Brighton,4.5,0.0,0,8,0.0,0,u,2025-12-30
178,Danny Welbeck,Welbeck,Brighton,6.3,4.7,10504,42560,1.2,999,a,2025-12-30
179,Evan Ferguson,Ferguson,Brighton,5.5,0.0,0,1,0.0,0,u,2025-12-30
180,Stefanos Tzimas,Tzimas,Brighton,5.2,0.1,17,172,1.0,132,i,2025-12-30
181,Charalampos Kostoulas,Kostoulas,Brighton,4.8,0.3,623,1155,0.8,90,a,2025-12-30
744,Nehemiah Oriola,Oriola,Brighton,4.5,0.0,60,84,0.0,1,a,2025-12-30
761,Freddie Simmonds,Simmonds,Brighton,4.0,0.0,50,44,0.0,0,a,2025-12-30
168,Facundo Buonanotte,Buonanotte,Chelsea,4.6,0.1,200,227,0.0,45,a,2025-12-30
220,Robert Lynch Sánchez,Sánchez,Chelsea,4.9,14.9,23832,19725,4.5,1534,a,2025-12-30
221,Filip Jörgensen,Jörgensen,Chelsea,4.3,0.2,104,216,0.0,84,a,2025-12-30
222,Mike Penders,Penders,Chelsea,4.0,0.0,0,0,0.0,0,u,2025-12-30
223,Gabriel Słonina,Slonina,Chelsea,3.9,0.1,120,172,0.0,0,a,2025-12-30
224,Marc Cucurella Saseta,Cucurella,Chelsea,6.2,20.8,9749,135001,2.8,1504,d,2025-12-30
225,Reece James,James,Chelsea,5.7,11.2,136063,9214,5.5,1201,a,2025-12-30
226,Trevoh Chalobah,Chalobah,Chelsea,5.6,19.4,80009,57194,5.5,1470,a,2025-12-30
227,Levi Samuels Colwill,Colwill,Chelsea,4.8,0.1,13,42,0.0,0,i,2025-12-30
228,Malo Gusto,Gusto,Chelsea,5.0,2.6,11495,17449,4.7,961,a,2025-12-30
229,Benoît Badiashile Mukinayi,B.Badiashile,Chelsea,4.4,0.0,157,57,0.2,245,a,2025-12-30
230,Wesley Fofana,Fofana,Chelsea,4.4,0.5,2138,4074,3.8,667,a,2025-12-30
231,Mamadou Sarr,M.Sarr,Chelsea,4.5,0.0,0,3,0.0,0,u,2025-12-30
232,Tosin Adarabioyo,Tosin,Chelsea,4.1,0.3,308,1303,0.5,557,a,2025-12-30
233,Josh Acheampong,Acheampong,Chelsea,3.8,1.3,1661,6046,0.0,348,a,2025-12-30
234,Aarón Anselmino,Anselmino,Chelsea,4.0,0.1,0,21,0.0,0,u,2025-12-30
235,Cole Palmer,Palmer,Chelsea,10.4,12.1,35444,18766,2.5,437,a,2025-12-30
236,Pedro Lomba Neto,Neto,Chelsea,7.3,8.7,21740,55096,3.3,1414,a,2025-12-30
237,Enzo Fernández,Enzo,Chelsea,6.4,9.3,10525,51521,2.0,1456,a,2025-12-30
238,Estêvão Almeida de Oliveira Gonçalves,Estêvão,Chelsea,6.4,1.9,3518,6404,0.7,467,a,2025-12-30
239,Jamie Bynoe-Gittens,Gittens,Chelsea,6.0,0.1,201,273,1.2,444,a,2025-12-30
