player_id,timestamp,net_now,net_prev,velocity
436,2025-12-22_13-48-26,-974,0,974
437,2025-12-22_13-48-26,191,0,-191
438,2025-12-22_13-48-26,-80,0,80
439,2025-12-22_13-48-26,-7,0,7
440,2025-12-22_13-48-26,292,0,-292
441,2025-12-22_13-48-26,350,0,-350
442,2025-12-22_13-48-26,-90,0,90
443,2025-12-22_13-48-26,-107,0,107
444,2025-12-22_13-48-26,-144,0,144
445,2025-12-22_13-48-26,-2,0,2
446,2025-12-22_13-48-26,-1,0,1
447,2025-12-22_13-48-26,1006,0,-1006
448,2025-12-22_13-48-26,-3,0,3
449,2025-12-22_13-48-26,-122580,0,122580
450,2025-12-22_13-48-26,23349,0,-23349
451,2025-12-22_13-48-26,0,0,0
452,2025-12-22_13-48-26,-667,0,667
454,2025-12-22_13-48-26,-2,0,2
455,2025-12-22_13-48-26,1000,0,-1000
457,2025-12-22_13-48-26,286,0,-286
458,2025-12-22_13-48-26,-280,0,280
459,2025-12-22_13-48-26,39,0,-39
460,2025-12-22_13-48-26,-3,0,3
461,2025-12-22_13-48-26,-1,0,1
462,2025-12-22_13-48-26,45,0,-45
463,2025-12-22_13-48-26,-4,0,4
464,2025-12-22_13-48-26,0,0,0
465,2025-12-22_13-48-26,-4,0,4
466,2025-12-22_13-48-26,-231,0,231
467,2025-12-22_13-48-26,290,0,-290
468,2025-12-22_13-48-26,-4,0,4
681,2025-12-22_13-48-26,-55,0,55
733,2025-12-22_13-48-26,-634,0,634
755,2025-12-22_13-48-26,21,0,-21
769,2025-12-22_13-48-26,2,0,-2
52,2025-12-22_13-48-26,30,0,-30
135,2025-12-22_13-48-26,-153,0,153
469,2025-12-22_13-48-26,-1368,0,1368
471,2025-12-22_13-48-26,-5,0,5
472,2025-12-22_13-48-26,0,0,0
473,2025-12-22_13-48-26,268,0,-268
474,2025-12-22_13-48-26,-184,0,184
475,2025-12-22_13-48-26,-84,0,84
476,2025-12-22_13-48-26,-6715,0,6715
477,2025-12-22_13-48-26,-2239,0,2239
478,2025-12-22_13-48-26,-309,0,309
479,2025-12-22_13-48-26,-4,0,4
480,2025-12-22_13-48-26,-14,0,14
481,2025-12-22_13-48-26,30,0,-30
482,2025-12-22_13-48-26,-5,0,5
483,2025-12-22_13-48-26,-5,0,5
484,2025-12-22_13-48-26,-19,0,19
485,2025-12-22_13-48-26,6299,0,-6299
486,2025-12-22_13-48-26,-227,0,227
487,2025-12-22_13-48-26,-754,0,754
488,2025-12-22_13-48-26,-3468,0,3468
489,2025-12-22_13-48-26,-15,0,15
490,2025-12-22_13-48-26,-6,0,6
491,2025-12-22_13-48-26,123,0,-123
492,2025-12-22_13-48-26,0,0,0
494,2025-12-22_13-48-26,23,0,-23
495,2025-12-22_13-48-26,-1,0,1
496,2025-12-22_13-48-26,-1,0,1
497,2025-12-22_13-48-26,2258,0,-2258
498,2025-12-22_13-48-26,-1,0,1
500,2025-12-22_13-48-26,-24,0,24
501,2025-12-22_13-48-26,-23,0,23
674,2025-12-22_13-48-26,-115,0,115
684,2025-12-22_13-48-26,-169,0,169
689,2025-12-22_13-48-26,-18,0,18
714,2025-12-22_13-48-26,8699,0,-8699
753,2025-12-22_13-48-26,1,0,-1
765,2025-12-22_13-48-26,19,0,-19
12,2025-12-22_13-48-26,19,0,-19
426,2025-12-22_13-48-26,-1,0,1
502,2025-12-22_13-48-26,-1710,0,1710
503,2025-12-22_13-48-26,-6,0,6
504,2025-12-22_13-48-26,-13,0,13
505,2025-12-22_13-48-26,-317,0,317
506,2025-12-22_13-48-26,-62,0,62
507,2025-12-22_13-48-26,-198,0,198
508,2025-12-22_13-48-26,-39,0,39
509,2025-12-22_13-48-26,0,0,0
510,2025-12-22_13-48-26,-2,0,2
511,2025-12-22_13-48-26,-6,0,6
512,2025-12-22_13-48-26,0,0,0
